Geography,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Annotation of Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,Annotation of Margin of Error!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
47037010103,68019,null,13769,null
47037010104,102675,null,37178,null
47037010105,69525,null,14061,null
47037010106,71656,null,4742,null
47037010201,70750,null,5804,null
47037010202,88673,null,9768,null
47037010301,57902,null,11982,null
47037010302,57865,null,7960,null
47037010303,52624,null,9662,null
47037010401,46536,null,6310,null
47037010403,28365,null,7253,null
47037010404,65973,null,4586,null
47037010501,60026,null,10335,null
47037010502,76537,null,8776,null
47037010601,66567,null,11601,null
47037010602,53189,null,7154,null
47037010701,53575,null,14006,null
47037010702,30606,null,5001,null
47037010801,60371,null,8675,null
47037010802,53054,null,8284,null
47037010901,57337,null,16653,null
47037010903,43920,null,16318,null
47037010904,35506,null,9680,null
47037011001,56322,null,8175,null
47037011002,57357,null,10911,null
47037011100,86518,null,16878,null
47037011200,69932,null,12217,null
47037011300,63427,null,8313,null
47037011400,80956,null,26366,null
47037011500,66959,null,7894,null
47037011600,88094,null,11515,null
47037011700,74238,null,24876,null
47037011800,73671,null,9994,null
47037011900,55413,null,3222,null
47037012100,114103,null,22756,null
47037012200,102568,null,15808,null
47037012600,60221,null,17771,null
47037012701,40221,null,2999,null
47037012702,60432,null,17150,null
47037012801,30417,null,14066,null
47037012802,53415,null,15229,null
47037013001,130625,null,69543,null
47037013002,-,-,**,**
47037013100,84013,null,17931,null
47037013201,54222,null,6391,null
47037013202,74222,null,18565,null
47037013300,83214,null,21784,null
47037013400,92407,null,5471,null
47037013500,89508,null,26028,null
47037013600,32750,null,6396,null
47037013701,47721,null,15422,null
47037013702,36719,null,26012,null
47037013800,44643,null,11866,null
47037013900,38693,null,8401,null
47037014200,26193,null,13261,null
47037014300,44943,null,6616,null
47037014400,48412,null,4630,null
47037014800,17092,null,6975,null
47037015100,68806,null,10684,null
47037015200,58333,null,13028,null
47037015300,78271,null,8267,null
47037015401,82697,null,27186,null
47037015402,68208,null,9614,null
47037015404,58188,null,13272,null
47037015405,68625,null,13719,null
47037015501,57622,null,12368,null
47037015502,49500,null,10433,null
47037015609,66316,null,11815,null
47037015613,41470,null,6126,null
47037015614,63382,null,5063,null
47037015615,53103,null,9749,null
47037015617,76283,null,9617,null
47037015618,53516,null,13519,null
47037015619,72273,null,14532,null
47037015620,54391,null,4948,null
47037015622,93224,null,8758,null
47037015623,50043,null,11827,null
47037015624,62213,null,11826,null
47037015625,62059,null,5595,null
47037015626,54629,null,6764,null
47037015627,63115,null,10895,null
47037015628,51336,null,12238,null
47037015629,50726,null,5628,null
47037015630,55805,null,5708,null
47037015632,49250,null,17760,null
47037015633,100303,null,22000,null
47037015634,78263,null,24078,null
47037015635,108175,null,15679,null
47037015636,82679,null,23635,null
47037015637,53964,null,11590,null
47037015700,69250,null,15589,null
47037015804,45000,null,8062,null
47037015805,41758,null,12180,null
47037015806,43031,null,5575,null
47037015900,23053,null,6081,null
47037016000,23646,null,8214,null
47037016100,55255,null,6729,null
47037016200,29103,null,7339,null
47037016300,79028,null,62388,null
47037016400,50855,null,17472,null
47037016500,59911,null,4916,null
47037016600,54356,null,10642,null
47037016700,125735,null,19051,null
47037016800,89375,null,36962,null
47037016900,106500,null,25023,null
47037017000,116125,null,38348,null
47037017100,83606,null,9505,null
47037017200,68992,null,10354,null
47037017300,47112,null,11411,null
47037017401,52487,null,6278,null
47037017402,61351,null,19471,null
47037017500,49223,null,20507,null
47037017701,166458,null,25921,null
47037017702,129583,null,33168,null
47037017800,102233,null,8199,null
47037017901,117500,null,25129,null
47037017902,116534,null,24161,null
47037018000,121125,null,29259,null
47037018101,35735,null,15125,null
47037018102,102878,null,11217,null
47037018201,134055,null,28927,null
47037018203,210000,null,40064,null
47037018204,44671,null,10141,null
47037018205,82967,null,7539,null
47037018302,105490,null,4042,null
47037018303,66181,null,31303,null
47037018304,118135,null,6245,null
47037018404,70881,null,10613,null
47037018405,102500,null,20290,null
47037018407,117740,null,11415,null
47037018408,111500,null,10664,null
47037018409,71458,null,14457,null
47037018410,60141,null,6862,null
47037018411,56268,null,10093,null
47037018412,86003,null,7546,null
47037018500,208304,null,24221,null
47037018601,208636,null,38976,null
47037018602,201786,null,35986,null
47037018700,192750,null,33059,null
47037018801,108561,null,10481,null
47037018803,79143,null,10228,null
47037018804,109375,null,24322,null
47037018901,50781,null,22663,null
47037018902,66724,null,29153,null
47037018904,65023,null,10170,null
47037018905,54044,null,19543,null
47037019003,45484,null,5663,null
47037019004,42338,null,9478,null
47037019007,48542,null,7031,null
47037019008,46631,null,9328,null
47037019105,52194,null,16949,null
47037019106,68156,null,6103,null
47037019108,36811,null,6365,null
47037019109,71683,null,18322,null
47037019110,59375,null,8516,null
47037019111,54957,null,11954,null
47037019112,71919,null,10903,null
47037019115,116765,null,27902,null
47037019116,79906,null,13809,null
47037019117,99855,null,7558,null
47037019118,58844,null,8636,null
47037019119,101577,null,16406,null
47037019120,78472,null,35743,null
47037019121,98258,null,45312,null
47037019200,73604,null,4728,null
47037019300,20763,null,4969,null
47037019401,56693,null,13761,null
47037019402,94065,null,8508,null
47037019501,63523,null,23093,null
47037019502,69907,null,10297,null
47037019503,91917,null,19626,null
47037019600,60795,null,9451,null
47037980100,-,-,**,**
47037980200,-,-,**,**